frequency_thz,mode,cutoff_thz,beta_rad_m,coupling_fraction_full_beam,coupling_fraction_aperture,attenuation_np_m,copper_loss_db,output_power_fraction,relative_group_delay_ps,amplitude_real,amplitude_imag
1.08,TE11,0.08784923322365325,22560.119282747433,0.4113221091965084,0.4113221365142169,0.3070978838128432,1.06696733075267,0.32172537892481357,4.43608059715073,0.0,9.879175031129687e-05
1.08,TM11,0.18282391732568906,22308.450621375312,0.3115524110846581,0.3115524317762226,0.7312958725855718,2.540782096820299,0.17356130499545372,19.5382921072632,0.0,0.0822650679063461
1.08,TE12,0.2543815366920744,21998.28760883656,0.18202293982773177,0.18202295191667497,0.06808948808515962,0.23656711160801625,0.1723730686458135,38.62600664086481,0.0,0.0002768591283434953
1.08,TM12,0.3347378549623198,21520.466617775037,0.07190144994630453,0.07190145472159573,0.7580727906269852,2.63381463880239,0.03920632940492294,69.108246390841,0.0,0.09886813171693548
1.08,TE13,0.4072971177228144,20963.784073065457,0.01849808320009371,0.01849808442863269,0.12133343954404029,0.42155554611454793,0.01678692591804222,106.37387501461701,0.0,0.0001813241996682785
1.08,TM13,0.485411279388828,20220.02685144923,0.004153534133279561,0.004153534409134013,0.8068280006260683,2.8032075881354785,0.0021781963451114436,159.36486084798452,0.0,0.042726589010488536
1.08,TE14,0.5585338982598654,19373.13575518829,0.0004786244204134952,0.0004786244522010459,0.23107984795987646,0.802853622784134,0.0003978409572366615,224.65808682421135,0.0,4.8581085321507334e-05
1.08,TM14,0.6357193302349714,18298.310658491395,6.689023297567007e-05,6.689023741814433e-05,0.8915625672151782,3.097605625704391,3.277948650543786e-05,316.22721714832045,0.0,0.008536243385937559
1.08,TE15,0.709193116772911,17071.10636984008,3.475433667843516e-06,3.4754338986623363e-06,0.4158225468080084,1.4447155002373973,2.491939269106239e-06,434.8768527290714,0.0,6.301996427349694e-06
1.08,TM15,0.7858706096283751,15526.341664912281,4.122173040563088e-07,4.122173314334711e-07,1.0507365812184024,3.650632793256321,1.7785371425181617e-07,610.8934982750795,0.0,0.0009995190604577121
1.08,TE16,0.8595830165870509,13703.63804241049,2.071516160505185e-09,2.0715162980836748e-09,0.7567239013512927,2.629128117449337,1.1307732183829356e-09,869.6154318166015,0.0,2.2900083861194223e-07
1.08,TM16,0.9359403154819943,11294.557745469941,1.1110186843915853e-09,1.1110187581792175e-09,1.4444215714206223,5.01843454408,3.4984680196719695e-10,1339.691753562708,0.0,-7.905811289728316e-05
1.08,TE17,1.0098251367594069,8026.106667116095,7.101386507573202e-10,7.101386979207482e-10,1.7790194254350264,6.180946557321004,1.7109940328650293e-10,2428.5968760180745,0.0,2.2299978908608354e-07
1.1,TE11,0.08784923322365325,22980.65646068722,0.39950586029594654,0.39950587460074394,0.3097173279105743,1.0760682116910594,0.31182887876375975,4.275465903217155,0.0,9.384849578532217e-05
1.1,TM11,0.18282391732568906,22733.643756306934,0.30990382360834434,0.3099038347048309,0.7376441034071856,2.5628381097456985,0.1717683420055378,18.819301238005664,0.0,0.079069711499373
1.1,TE12,0.2543815366920744,22429.361271187034,0.18688191618642672,0.18688192287796296,0.0671519504442523,0.23330977221583515,0.17710723433017744,37.17547402891233,0.0,0.0002702788202569349
1.1,TM12,0.3347378549623198,21960.921491574583,0.07702839150558535,0.0770283942636814,0.7635991348702343,2.6530151252819176,0.041816657580077625,66.42894757156645,0.0,0.09855078444206253
1.1,TE13,0.4072971177228144,21415.691256049748,0.02096154601419317,0.020961546764747038,0.1180804228010028,0.4102534083462274,0.01907207605600895,102.08952851426427,0.0,0.00018578876859499382
1.1,TM13,0.485411279388828,20688.186851091144,0.0049909129678189865,0.004990913146524748,0.8105758386261785,2.8162289110356,0.002609498824443665,152.59893195238678,0.0,0.04504593274702809
1.1,TE14,0.5585338982598654,19861.268295385562,0.0006268174659019548,0.000626817488345923,0.22356540692546778,0.7767457805774854,0.0005241631808850901,214.50375240355152,0.0,5.3417481484712906e-05
