frequency_thz,waist_mm,aperture_throughput,total_coupled_fraction,total_output_power_fraction,dominant_mode,dominant_output_fraction
0.94,0.39967709492686737,0.9999963478920303,0.9999963478920304,0.7385404849310172,TE11,0.402963436460454
0.96,0.3913504887825577,0.9999978684232036,0.9999978684232036,0.7365436866137082,TE11,0.38999103187299833
0.98,0.38336374411352586,0.999998769914336,0.9999987699143361,0.7346392521805897,TE11,0.3774908506515464
1.0,0.3756964692312553,0.9999992981460839,0.9999992981460841,0.7328200412131727,TE11,0.36545497437540675
1.02,0.36832987179534826,0.9999996040547883,0.9999996040547885,0.7310791443385816,TE11,0.3538730843945706
1.04,0.36124660503005324,0.9999997791484455,0.9999997791484455,0.7294101311330081,TE11,0.34273315661798937
1.06,0.3544306313502409,0.9999998782012524,0.9999998782012521,0.7278070639899747,TE11,0.33202194515403527
1.08,0.34786710114005115,0.9999999335856108,0.9999999335856107,0.7262644961226024,TE11,0.32172537892481357
1.1,0.3415422447556867,0.9999999641937747,0.9999999641937748,0.7247774484192696,TE11,0.31182887876375975
1.12,0.3354432760993351,0.9999999809132539,0.9999999809132539,0.7233413964093685,TE11,0.3023176182588171
1.1400000000000003,0.3295583063432064,0.9999999899403644,0.9999999899403642,0.7219522147367061,TE11,0.2931767139889865
1.1600000000000001,0.32387626657866836,0.9999999947578482,0.9999999947578482,0.7206061668707744,TE11,0.284391391858545
1.1800000000000002,0.3183868383315723,0.9999999972990662,0.9999999972990662,0.7192998651332057,TE11,0.2759471039724215
1.2000000000000002,0.313080391026046,0.9999999986240733,0.9999999986240731,0.7180302405003869,TE11,0.2678296194323995
1.2200000000000002,0.30794792559938955,0.9999999993069675,0.9999999993069676,0.7167945133387115,TE11,0.26002509070048657
1.2400000000000002,0.30298102357359297,0.9999999996548651,0.9999999996548651,0.7155901659958345,TE11,0.25252010052364415
1.26,0.29817180097718676,0.9999999998300578,0.9999999998300576,0.7144149176224311,TE11,0.24530169343703562
1.28,0.2935128665869182,0.9999999999172647,0.9999999999172648,0.7132667005223828,TE11,0.23835739483265125
1.3,0.2889972840240426,0.9999999999601749,0.9999999999601749,0.7121436393022547,TE11,0.23167522070806149
1.32,0.2846185372964056,0.999999999981046,0.999999999981046,0.7110440314888627,TE11,0.22524367981205135
1.34,0.28037049942631,0.9999999999910809,0.9999999999910808,0.7099663301878311,TE11,0.21905177016730626
1.36,0.27624740384651125,0.9999999999958503,0.9999999999958502,0.7089091284513717,TE11,0.2130889712942428
1.38,0.27224381828351835,0.9999999999980911,0.9999999999980912,0.7078711452346726,TE12,0.20956240202849633
1.4000000000000001,0.26835462087946804,0.9999999999991318,0.9999999999991318,0.7068512127987969,TE12,0.2099677304515888
1.4200000000000002,0.26457497833186994,0.9999999999996095,0.9999999999996095,0.7058482654342303,TE12,0.21018800644678873
1.4400000000000002,0.2609003258550384,0.9999999999998264,0.9999999999998266,0.7048613293503447,TE12,0.2102352271356231
1.4600000000000002,0.25732634878853106,0.9999999999999237,0.9999999999999237,0.7038895136457284,TE12,0.21012093032592047
1.4800000000000002,0.2538489656967941,0.9999999999999668,0.9999999999999668,0.7029320022199346,TE12,0.20985617761122885
1.5000000000000002,0.2504643128208368,0.9999999999999858,0.9999999999999859,0.7019880465383103,TE12,0.20945154453236284
1.52,0.2471687297574048,0.9999999999999939,0.9999999999999937,0.7010569591553474,TE12,0.2089171166397133
1.54,0.2439587462540619,0.9999999999999974,0.9999999999999976,0.7001381079132015,TE12,0.20826249044164047
1.56,0.24083107002003548,0.9999999999999989,0.9999999999999992,0.6992309107482246,TE12,0.2074967783589378
1.58,0.23778257546281983,0.9999999999999996,0.9999999999999993,0.6983348310213698,TE12,0.20662861691697262
1.6,0.2348102932695346,0.9999999999999998,1.0000000000000002,0.6974493733401148,TE12,0.20566617752654684
1.62,0.23191140076003416,0.9999999999999999,1.0,0.6965740797967657,TE12,0.20461717928407722
1.6400000000000003,0.22908321294588738,1.0,1.0000000000000002,0.6957085265883292,TE12,0.20348890331509817
1.6600000000000001,0.22632317423569592,1.0,1.0000000000000002,0.6948523209737105,TE12,0.20228820825367552
1.6800000000000002,0.22362885073289002,1.0,1.0000000000000002,0.6940050985320881,TE12,0.20102154651515494
1.7000000000000002,0.220997923077209,1.0,1.0000000000000002,0.693166520689334,TE12,0.19969498107486824
1.7200000000000002,0.21842817978561355,1.0,0.9999999999999999,0.6923362724886448,TE12,0.19831420251520634
